Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 74.0.3729.157,,,2019-05-21 05:05:51,2019-05-21 05:07:09,1m - 18.450s,INCOMPLETE
,,,,,,,
Test Cases/Day1/Test1,Chrome 74.0.3729.157,,,2019-05-21 05:05:51,2019-05-21 05:06:37,45.631s,FAILED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 05:05:51,2019-05-21 05:05:57,5.401s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 74.0.3729.157,,,2019-05-21 05:05:57,2019-05-21 05:05:58,1.585s,PASSED
"setText(findTestObject(""Object Repository/Day1/Page_Google/input_Sign in_q""), ""automation"")",Chrome 74.0.3729.157,,,2019-05-21 05:05:58,2019-05-21 05:06:02,3.457s,PASSED
"sendKeys(findTestObject(""Object Repository/Day1/Page_Google/input_Sign in_q""), Keys.chord(ENTER))",Chrome 74.0.3729.157,,,2019-05-21 05:06:02,2019-05-21 05:06:05,3.234s,PASSED
"setText(findTestObject(""Day1/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), """")",Chrome 74.0.3729.157,,,2019-05-21 05:06:05,2019-05-21 05:06:37,31.657s,FAILED
,,,,,,,
Test Cases/Day1/Test2,Chrome 74.0.3729.157,,,2019-05-21 05:06:37,2019-05-21 05:07:09,32.542s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 05:06:37,2019-05-21 05:06:43,5.835s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 74.0.3729.157,,,2019-05-21 05:06:43,2019-05-21 05:06:44,1.473s,PASSED
"click(findTestObject(""Object Repository/Day1/Page_OrangeHRM/span_Username""))",Chrome 74.0.3729.157,,,2019-05-21 05:06:44,2019-05-21 05:06:46,2.073s,PASSED
"setText(findTestObject(""Object Repository/Day1/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 74.0.3729.157,,,2019-05-21 05:06:46,2019-05-21 05:06:49,3.086s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Day1/Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 74.0.3729.157,,,2019-05-21 05:06:49,2019-05-21 05:06:52,3.179s,PASSED
"click(findTestObject(""Object Repository/Day1/Page_OrangeHRM/input_Password_Submit""))",Chrome 74.0.3729.157,,,2019-05-21 05:06:52,2019-05-21 05:06:55,2.734s,PASSED
"click(findTestObject(""Object Repository/Day1/Page_OrangeHRM/b_Admin""))",Chrome 74.0.3729.157,,,2019-05-21 05:06:55,2019-05-21 05:06:58,2.335s,PASSED
"click(findTestObject(""Object Repository/Day1/Page_OrangeHRM/b_Leave""))",Chrome 74.0.3729.157,,,2019-05-21 05:06:58,2019-05-21 05:07:00,2.383s,PASSED
"click(findTestObject(""Object Repository/Day1/Page_OrangeHRM/b_Dashboard""))",Chrome 74.0.3729.157,,,2019-05-21 05:07:00,2019-05-21 05:07:02,2.224s,PASSED
"click(findTestObject(""Object Repository/Day1/Page_OrangeHRM/a_Welcome Admin""))",Chrome 74.0.3729.157,,,2019-05-21 05:07:02,2019-05-21 05:07:04,2.085s,PASSED
"verifyElementPresent(findTestObject(""Day1/Page_OrangeHRM/a_Logout""), 5)",Chrome 74.0.3729.157,,,2019-05-21 05:07:04,2019-05-21 05:07:05,1.027s,PASSED
"click(findTestObject(""Object Repository/Day1/Page_OrangeHRM/a_Logout""))",Chrome 74.0.3729.157,,,2019-05-21 05:07:05,2019-05-21 05:07:08,2.255s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 05:07:08,2019-05-21 05:07:09,1.630s,PASSED
