Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 74.0.3729.157,,,2019-05-22 19:29:35,2019-05-22 19:29:52,17.272s,INCOMPLETE
,,,,,,,
Test Cases/Day2/Test2,Chrome 74.0.3729.157,,,2019-05-22 19:29:35,2019-05-22 19:29:52,16.719s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-22 19:29:36,2019-05-22 19:29:41,5.221s,PASSED
navigateToUrl(URL),Chrome 74.0.3729.157,,,2019-05-22 19:29:41,2019-05-22 19:29:46,4.761s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/span_Username""))",Chrome 74.0.3729.157,,,2019-05-22 19:29:46,2019-05-22 19:29:46,0.424s,PASSED
"setText(findTestObject(""Object Repository/Day2/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), USERNAME)",Chrome 74.0.3729.157,,,2019-05-22 19:29:46,2019-05-22 19:29:46,0.406s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Day2/Page_OrangeHRM/input_Username_txtPassword""), PASSWORD)",Chrome 74.0.3729.157,,,2019-05-22 19:29:46,2019-05-22 19:29:47,0.329s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/input_Password_Submit""))",Chrome 74.0.3729.157,,,2019-05-22 19:29:47,2019-05-22 19:29:49,2.434s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/b_Recruitment""))",Chrome 74.0.3729.157,,,2019-05-22 19:29:49,2019-05-22 19:29:50,0.917s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/b_Dashboard""))",Chrome 74.0.3729.157,,,2019-05-22 19:29:50,2019-05-22 19:29:51,0.493s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/a_Welcome Admin""))",Chrome 74.0.3729.157,,,2019-05-22 19:29:51,2019-05-22 19:29:51,0.318s,PASSED
"waitForElementPresent(findTestObject(""Day2/Page_OrangeHRM/a_Logout""), 5)",Chrome 74.0.3729.157,,,2019-05-22 19:29:51,2019-05-22 19:29:51,0.080s,PASSED
"click(findTestObject(""Object Repository/Day2/Page_OrangeHRM/a_Logout""))",Chrome 74.0.3729.157,,,2019-05-22 19:29:51,2019-05-22 19:29:51,0.267s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-22 19:29:51,2019-05-22 19:29:52,0.645s,PASSED
